"POOL_ADDRESS","POOL_NAME","TOTALVALUELOCKEDUSD","TOKEN0_ADDRESS","TOKEN1_ADDRESS","TOKEN0_SYMBOL","TOKEN1_SYMBOL"
"0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640","Uniswap V3 USD Coin/Wrapped Ether 0.05%",232032726,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","USDC","WETH"
"0xcbcdf9626bc03e24f779434178a73a0b4bad62ed","Uniswap V3 Wrapped BTC/Wrapped Ether 0.3%",230418440,"0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","WBTC","WETH"
"0x5777d92f208679db4b9778590fa3cab3ac9e2168","Uniswap V3 Dai Stablecoin/USD Coin 0.01%",107819871,"0x6b175474e89094c44da98b954eedeac495271d0f","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","DAI","USDC"
"0x4585fe77225b41b697c938b018e2ac67ac5a20c0","Uniswap V3 Wrapped BTC/Wrapped Ether 0.05%",101635057,"0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","WBTC","WETH"
"0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8","Uniswap V3 USD Coin/Wrapped Ether 0.3%",92332852,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","USDC","WETH"
"0xc63b0708e2f7e69cb8a1df0e1389a98c35a76d52","Uniswap V3 Frax/USD Coin 0.05%",91231185,"0x853d955acef822db058eb8505911ed77f175b99e","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","FRAX","USDC"
"0x7379e81228514a1d2a6cf7559203998e20598346","Uniswap V3 Wrapped Ether/StakeWise Staked ETH2 0.3%",80511590,"0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","0xfe2e637202056d30016725477c5da089ab0a043a","WETH","sETH2"
"0x3416cf6c708da44db2624d63ea0aaef7113527c6","Uniswap V3 USD Coin/Tether USD 0.01%",76353531,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","0xdac17f958d2ee523a2206206994597c13d831ec7","USDC","USDT"
"0x6c6bc977e13df9b0de53b251522280bb72383700","Uniswap V3 Dai Stablecoin/USD Coin 0.05%",62351107,"0x6b175474e89094c44da98b954eedeac495271d0f","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","DAI","USDC"
"0x025b887e7f62d8b5f1564ba204187452cf27f634","Uniswap V3 USD Coin/SW Yield Fund 0.01%",52390050,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","0xefa6903aa49cd539c079ac4b0a090db432615822","USDC","SWYF"
"0x4e68ccd3e89f51c3074ca5072bbac773960dfa36","Uniswap V3 Wrapped Ether/Tether USD 0.3%",51708318,"0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","0xdac17f958d2ee523a2206206994597c13d831ec7","WETH","USDT"
"0x11b815efb8f581194ae79006d24e0d814b7697f6","Uniswap V3 Wrapped Ether/Tether USD 0.05%",50291211,"0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","0xdac17f958d2ee523a2206206994597c13d831ec7","WETH","USDT"
"0x7bea39867e4169dbe237d55c8242a8f2fcdcc387","Uniswap V3 USD Coin/Wrapped Ether 1%",43842753,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","USDC","WETH"
"0x99ac8ca7087fa4a2a1fb6357269965a2014abc35","Uniswap V3 Wrapped BTC/USD Coin 0.3%",43300768,"0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","WBTC","USDC"
"0x5c128d25a21f681e678cb050e551a895c9309945","Uniswap V3 BitDAO/Wrapped Ether 0.3%",25166972,"0x1a4b46696b2bb4794eb3d4c26f1c55f9170fa4c5","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","BIT","WETH"
"0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801","Uniswap V3 Uniswap/Wrapped Ether 0.3%",24557413,"0x1f9840a85d5af5bf1d1762f925bdaddc4201f984","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","UNI","WETH"
